Fecha,Humedad relativa,Temperatura,Velocidad del viento,Presión atmosférica,Radiación solar,Precipitaciones,Humedad relativa mínima
2019-01-01,71.62101108660094,1.7957103660163019,10.5232690896899,900.0,6787.52675918183,0.0,53.095559268796585
2019-01-02,100.0,3.4687985073376675,2.5346320675357696,900.0,5065.242733275032,0.0,89.98346442677357
2019-01-03,82.1383977525809,8.221807990053346,18.170065457831438,1050.0,4808.878998856507,6.354956646257529,67.72675439201585
2019-01-04,73.04600970789788,4.194885308435193,3.8357395720181695,900.0,4525.9673923334585,0.0,49.65179952632689
2019-01-05,93.738275303952,0.49070129798540474,1.4520005200515955,900.0,2701.271597310515,0.0,88.59630035948625
2019-01-06,87.4033721270544,0.12272321694426644,3.8027776903080963,940.2258557268842,9004.252919456354,0.0,64.85428869167484
2019-01-07,100.0,7.558572630035206,3.3184853355922894,932.7623110537563,2532.687229110624,3.014179302641615,78.19784567951223
2019-01-08,100.0,3.861669980793184,2.441878959359205,1050.0,4083.413615447437,1.1150016474402986,76.6631090961167
2019-01-09,90.15837427070056,2.265362976201553,13.087910191507955,913.4375760511974,6210.1420531690055,0.0,56.0914509266013
2019-01-10,100.0,9.353147262793813,6.545211524377878,900.0,0.0,0.0,86.47870120805095
2019-01-11,97.81001257881437,5.464168409465925,2.7092421043130224,900.0,5758.8362056368105,1.4151742753444474,63.586108852029504
2019-01-12,68.89318451000258,9.80571870870118,12.23538165130544,1050.0,7086.54219482296,0.0,60.23975135058997
2019-01-13,94.35121479594622,4.005813192920506,5.309640024534984,946.6011447622136,3085.9900720598457,0.0,75.34382131603122
2019-01-14,63.91477912441904,8.594643136561409,9.156523979523959,900.0,6067.40657098006,0.0,81.78783758584345
2019-01-15,71.26290487572118,4.964683498594428,3.1706584324857743,1028.7886540598765,6936.666428450543,2.330761980190273,62.79513574009645
2019-01-16,91.57023000072057,10.422989970218152,11.259156012879933,912.2145337075584,4327.345488084027,7.871998580407789,67.81888132746627
2019-01-17,71.25801096063834,5.701089146402666,12.031136073028733,1050.0,2511.0571521131096,5.068252502347853,77.27512546614965
2019-01-18,100.0,2.622737054351806,1.146573562448132,900.0,3822.0191229240745,0.19227378998685543,58.61873312747642
2019-01-19,95.00450054210067,8.276485441207779,5.181622285259593,1028.7250605901147,0.0,0.0,93.77251163331711
2019-01-20,71.69852910982765,0.990480049346876,3.310695890289641,900.0,3996.2259772308275,0.0,67.75129880204524
2019-01-21,79.64571515506036,8.961551843244887,10.534584114459019,900.0,5235.894651461784,0.0,73.18278377447953
2019-01-22,100.0,10.605826675764456,3.1637767855152434,900.0,0.0,0.0,63.86683210225086
2019-01-23,67.28410529651974,5.070148821525277,1.8336843177007143,900.0,7545.909164498365,0.0,60.948866681625816
2019-01-24,100.0,4.662803253281019,2.5376694092371737,972.9644495282379,4207.527801247436,0.29311714261238836,80.68745264336617
2019-01-25,100.0,2.443019833641889,2.5281276190072313,900.0,4325.708090785784,0.995758141071886,66.25486263933644
2019-01-26,84.57144488720665,10.43775716679119,3.8066314124915275,900.0,0.0,0.0,71.48278533658052
2019-01-27,69.18650663821641,14.230057250356861,5.020741525300371,941.8405668514152,0.0,0.0,59.851939526820075
2019-01-28,94.98758242521478,7.6973318970217095,1.4846078329151324,900.0,9232.910559409627,0.19212071782610252,52.715564287553796
2019-01-29,71.93307113936666,1.6215472685352323,12.35551271043394,934.4759889533815,8893.691034421965,0.0,53.28363719819932
2019-01-30,87.50297291959251,5.817896386127665,11.256865346081607,1049.3725154510482,2432.562496393372,6.903548088725486,94.22793179823012
2019-01-31,85.87847944813336,2.143948438664994,16.312068500061113,982.2428553560663,3245.9690887945876,0.0,57.11127449971053
2019-02-01,73.04817654225629,5.215089859908773,14.43779244785054,1042.924701410077,6154.5021524505755,0.0,50.64271307529346
2019-02-02,48.66378055434374,3.365595335185155,6.5111666665344226,900.0,8660.223639052205,0.0,40.50220654300526
2019-02-03,76.13802759554105,7.927541489801021,2.5458434571297657,1050.0,8937.122893949043,0.0,50.89926503778934
2019-02-04,82.31139357297127,10.121796583681771,4.275054844364217,942.6436861490921,0.0,0.0,89.42964663095344
2019-02-05,100.0,5.391040443048858,1.6566994832278261,1050.0,4714.060510047963,0.0,100.0
2019-02-06,86.15166797211245,3.373080389212297,5.851521058249722,900.0,7641.859810819847,0.0,32.81708790422117
2019-02-07,91.29320570815533,11.81541798809374,3.1501727312900867,1046.8877762402014,5932.980143145913,1.036925668375279,54.814648932481965
2019-02-08,67.75672348850222,5.131569955882817,3.5529832568477486,900.0,8281.483706219502,0.0,32.18397893230509
